age,price
20,5
26,3.5
28,17
31,12
35,1.5
31,60
25,18
21,0.2
30,5
23,2
35,1
32,1
31,18
25,16
24,15
37,0.6
36,0.5
35,0.4
19,0.05
25,32
22,25
23,22
30,14
30,8
20,2
26,1.5
32,1.2
30,1
34,0.4
20,0.1
24,50
30,25
24,20
25,15
33,13
29,9
17,7
32,5
30,4
29,4
30,3.5
23,3.5
31,3
31,2.5
33,2
26,2
30,1.5
26,0.8
41,0.5
23,0.45
22,0.25
24,0.2
22,0.2
25,0.025
22,170
23,45
21,42
27,35
30,28
24,27
27,20
25,20
31,16
28,12
27,12
30,8
26,8
29,7
26,6.5
21,6.5
28,5
28,5
32,4
30,3.5
27,3.5
25,3.5
24,3
22,3
30,2.5
41,2
28,1.8
29,1.5
32,1
26,0.8
36,0.6
28,0.6
22,0.6
25,0.35
22,0.3
23,0.25
28,0.2
17,0.2
24,0.15
38,0.05
19,0.025
25,45
22,40
25,35
23,35
24,30
19,30
30,25
25,25
31,18
26,18
26,16
29,15
25,15
24,15
21,15
25,13
29,12
29,12
33,8
28,8
23,8
28,5
34,4
31,3.5
27,3.5
26,3.5
24,3.5
30,3
29,3
22,2.5
19,1.2
34,0.6
31,0.6
20,0.6
24,0.5
35,0.4
33,0.3
19,0.3
18,0.2
22,0.15
24,60
23,60
31,45
30,45
22,22
26,18
22,18
23,11
26,10
26,10
21,9
29,8
25,8
25,8
19,8
37,7
26,7
25,6
18,6
25,5.5
29,5
27,5
20,5
37,4
32,4
30,4
28,4
21,4
18,3.5
31,2.5
29,2.5
33,2
33,2
32,2
31,2
30,2
29,1.8
27,1.2
38,1
20,1
33,0.75
27,0.7
22,0.5
22,0.5
21,0.5
32,0.4
20,0.4
39,0.3
22,0.3
22,0.3
39,0.2
19,0.2
21,0.15
32,0.1
22,0.1
22,55
23,50
28,35
26,32
25,32
23,32
22,32
22,27
29,25
23,22
31,18
30,18
25,15
26,14
32,12
30,10
28,10
27,10
25,10
25,9
29,8
28,8
26,8
24,8
34,7
33,6
26,6
25,6
25,6
26,5
21,5
23,4.5
36,4
35,4
28,4
20,4
26,3.5
22,3.5
19,3
33,2.5
31,2.5
24,2.5
18,2.5
20,2
30,1.8
22,1.8
32,1.7
33,1.5
31,1.5
30,1.5
24,1.5
35,1
34,1
34,1
31,1
26,1
24,1
22,1
34,0.9
25,0.7
24,0.7
36,0.6
32,0.6
31,0.5
29,0.5
18,0.4
38,0.3
22,0.3
34,0.2
22,0.2
21,0.2
22,0.1
22,0.1
21,0.1
26,80
28,60
26,45
30,40
30,40
23,40
27,35
20,35
28,30
27,30
21,30
28,25
27,25
26,25
30,20
29,20
23,20
22,20
26,18
26,18
25,17
29,15
29,14
22,13
24,12
31,10
27,10
25,10
23,10
21,10
27,9
23,9
20,9
24,8.5
29,8
19,8
34,6.5
31,6.5
34,6
24,6
21,6
34,5
32,5
30,5
28,5
26,5
24,5
23,5
26,4.5
25,4.5
28,4
27,4
22,4
20,4
29,3
29,3
27,3
26,3
25,3
24,3
23,3
34,2.5
32,2.5
29,2.5
26,2.4
33,2
25,2
23,2
26,1.6
29,1.5
28,1.5
34,1
19,1
18,1
27,0.8
26,0.75
35,0.4
24,0.4
22,0.4
38,0.3
37,0.3
37,0.3
31,0.3
20,0.3
37,0.2
21,0.2
21,0.2
19,0.2
26,0.15
23,75
24,55
26,50
25,50
30,40
25,38
27,35
27,32
23,30
20,30
28,28
25,25
25,25
25,25
28,22
27,20
26,20
23,20
23,20
21,20
27,18
27,18
26,18
24,16
23,16
24,15
24,14
22,14
30,13
29,13
28,12
24,12
24,12
31,10
27,10
26,10
24,10
21,10
24,9
26,8
25,8
24,8
22,8
17,8
26,7.5
29,7
28,7
27,7
26,7
22,7
33,6
31,6
28,6
26,6
25,6
21,6
28,5.5
24,5.5
22,5.5
35,5
28,5
28,5
24,5
24,5
23,5
22,5
24,4.5
31,4
23,4
31,3.5
28,3.5
27,3.5
24,3.5
22,3.5
37,3
33,3
27,3
26,3
26,3
23,3
22,3
36,2.5
33,2.5
28,2.5
29,2
22,2
20,2
24,1.8
22,1.8
36,1.5
32,1.5
31,1.5
29,1.5
28,1.5
26,1.5
25,1.5
21,1.5
21,1.3
35,1.2
23,1.2
38,1
36,1
31,1
24,1
20,1
19,1
30,0.9
35,0.8
22,0.5
21,0.5
36,0.4
22,0.4
21,0.4
33,0.3
22,0.3
19,0.3
26,0.25
21,0.2
20,0.2
19,0.2
18,0.2
19,0.15
21,0.1
20,0.1
23,75
28,65
26,50
27,38
28,30
28,28
30,25
26,25
20,25
26,20
26,20
23,20
20,18
32,15
28,14
27,14
21,14
30,13
26,12
32,10
31,10
27,10
26,10
24,10
24,10
21,10
20,10
29,9
32,8.5
24,8.5
29,8
28,8
32,7
31,7
31,6
34,5
31,5
30,5
24,5
26,4.5
31,4
24,4
23,4
22,4
27,3.5
24,3.5
23,3.5
34,3
33,3
26,3
26,3
25,3
25,3
36,2.5
28,2.5
23,2.5
27,2.3
32,2
27,2
25,2
22,2
21,2
26,1.8
23,1.8
36,1.5
34,1.5
33,1.5
33,1.5
28,1.5
24,1.5
22,1.5
29,1.4
21,1.2
35,1
33,1
30,1
36,0.8
30,0.8
21,0.75
33,0.6
32,0.5
36,0.3
35,0.3
30,0.3
26,0.3
22,0.3
20,0.3
20,0.3
29,0.25
23,0.1
19,0.075
29,90
23,90
24,80
23,80
24,70
28,60
29,45
29,45
30,40
26,40
28,30
28,30
27,30
25,30
23,30
27,28
29,25
28,25
24,25
26,22
20,22
24,20
23,20
30,18
24,18
21,18
28,17
23,15
21,15
20,15
29,14
28,14
31,12
26,12
25,12
25,12
30,10
23,10
21,10
32,9
27,9
22,9
31,8
28,8
24,8
24,8
23,8
22,8
24,7.5
29,7
28,7
27,7
21,7
29,6.5
29,6.5
23,6.5
21,6.5
27,5
26,5
26,5
25,5
22,5
22,5
23,4.5
36,4
31,4
30,4
29,4
27,4
27,4
26,4
23,4
22,4
21,4
24,3.8
33,3.5
31,3.5
30,3.5
25,3.5
24,3.5
35,3
35,3
33,3
32,3
29,3
28,3
28,3
28,3
23,3
21,3
33,2.5
30,2.5
30,2.5
28,2.5
24,2.5
30,2
30,2
27,2
26,2
21,2
35,1.5
34,1.5
30,1.5
29,1.5
27,1.5
24,1.5
23,1.5
22,1.5
22,1.2
35,1
34,1
32,1
27,1
25,1
18,1
20,0.8
19,0.8
40,0.7
39,0.7
34,0.7
33,0.7
21,0.7
37,0.6
25,0.6
31,0.5
24,0.5
19,0.5
26,0.4
33,0.35
40,0.3
24,0.3
24,0.3
24,0.3
17,0.3
37,0.25
20,0.25
25,0.2
25,0.2
24,0.2
21,0.15
21,0.15
24,0.1
40,0.05
26,75
23,70
24,65
31,40
25,40
22,40
26,35
27,30
23,28
30,25
26,25
25,25
26,22
25,22
28,20
26,20
25,20
25,20
25,17
31,16
20,16
28,15
27,15
26,15
26,15
25,15
25,15
19,15
29,14
26,14
28,12
26,12
25,12
23,12
28,11
32,10
29,10
29,10
27,10
26,10
25,10
24,10
23,10
27,9
25,9
24,9
29,8
26,8
24,8
22,8
