Equipo,xG,pts
1,59.043412,81
2,51.536786,78
3,43.449513,56
4,50.508099,44
5,50.29048,79
6,57.321604,59
7,32.771712,54
8,54.088913,44
9,90.486752,93
10,51.872324,76
11,40.1124551,45
12,46.471205,63
13,56.608176,71
14,41.576662,49
15,90.454148,90
16,47.9605279,52
17,65.626284,77
18,46.687234,47
19,45.751884,48
20,37.2663785,41
21,52.228737,67
22,61.746657,71
23,57.7633736,73
24,54.927365,88
25,40.939495,41
26,31.4655405,45
27,39.9106505,45
28,42.486283,43
29,47.034178,59
30,68.416034,81
31,83.279534,87
32,41.6936816,60
33,62.851829,75
34,42.91644,50
35,46.493418,69
36,37.879523,47
37,33.013623,43
38,61.884949,61
39,57.849065,66
40,70.065979,86
41,58.887332,51
42,45.463431,58
43,102.980152,94
44,55.0625,77
45,60.834829,72
46,79.45754,97
47,44.202161,46
48,26.9720973,33
49,40.901235,56
50,60.006656,75
51,35.478687,42
52,45.231322,63
53,49.029457,55
54,41.641547,41
55,40.488814,64
56,47.5852592,56
57,29.5139365,50
58,53.828313,62
59,64.795372,70
60,54.295839,67
61,38.676393,44
62,46.221008,50
63,54.965667,60
64,40.589887,50
65,35.0911016,32
66,29.7130847,33
67,50.853662,70
68,52.164813,68
69,44.625608,44
70,66.473848,69
71,86.200951,96
72,59.672722,63
73,40.525432,40
74,46.97009,58
75,59.077044,87
76,64.52718,90
77,113.59827,91
78,39.808785,51
79,39.372649,33
80,68.394175,66
81,38.590344,37
82,45.424211,66
83,50.157346,53
84,95.766243,92
85,59.228735,95
86,40.873013,50
87,54.400567,62
88,46.076171,45
89,60.6589,78
90,51.733546,50
91,55.669446,61
92,54.79974,44
93,41.400288,46
94,52.385284,64
95,32.2656326,34
96,47.072551,52
97,41.0986435,41
98,39.7528703,43
99,39.99186,44
100,76.03698,95
101,56.767999,60
102,45.3891241,56
103,53.866134,54
104,56.201605,63
105,53.194756,53
106,51.034859,55
107,34.168615,34
108,46.592124,54
109,45.5421507,55
110,89.924296,93
111,82.996525,87
112,63.581257,75
113,36.583386,50
114,62.989649,91
115,47.322888,61
116,69.526624,76
117,54.20686,70
118,38.6277291,44
119,93.720559,98
120,68.654773,68
121,57.571359,69
122,41.035511,43
123,60.670595,64
124,75.815441,79
125,37.027868,36
126,32.5770453,35
127,47.790696,49
128,40.937206,37
129,42.986638,37
130,30.9301263,28
131,53.1392869,54
132,40.917056,56
133,44.441324,53
134,47.987101,50
135,63.419362,70
136,46.260597,54
137,41.187499,44
138,42.50767,42
139,46.17492,48
140,43.199637,45
141,49.6324541,61
142,95.34406,91
143,44.083999,46
144,51.785618,43
145,39.958642,47
146,51.677425,50
147,41.805557,50
148,48.699852,41
149,48.206401,41
150,34.6135,38
151,52.021644,59
152,49.754823,43
153,91.28737,76
154,42.6011055,55
155,41.249284,45
156,50.56918,49
157,48.888795,48
158,45.2857583,46
159,40.58874,49
160,68.237943,79
161,43.294816,37
162,61.265079,59
163,37.8752152,22
164,53.896614,62
165,36.511121,41
166,37.119521,55
167,62.411927,80
168,35.591734,40
169,33.485197,46
170,57.04767,78
171,47.947144,48
172,42.2084412,41
173,68.911894,77
174,50.642166,49
175,53.9810719,47
176,69.802591,75
177,69.162306,59
178,36.080293,45
179,68.64332,87
180,42.727796,38
181,44.5390678,38
182,42.626573,51
183,47.1389903,50
184,48.038438,48
185,46.620677,59
186,35.876437,20
187,63.968004,72
188,48.213256,63
189,37.2144165,40
190,54.123063,41
191,58.128595,65
192,64.428699,80
193,34.858852,41
194,29.5601069,35
195,40.1720139,28
196,44.93708,45
197,30.25339,47
198,42.5678716,39
199,56.749704,44
200,37.838529,46
201,37.446153,38
202,36.402856,48
203,51.377569,33
204,46.883277,46
205,68.617498,66
206,33.843419,31
207,42.9145437,49
208,44.7412159,40
209,43.28407,42
210,53.906377,57
211,56.633606,47
212,61.996225,69
213,73.530928,71
214,39.2569609,43
215,77.485119,75
216,72.269335,63
217,72.714092,72
218,43.900052,54
219,51.778812,54
220,54.5900082,49
221,36.130932,34
222,36.754259,33
223,91.434145,100
224,64.294623,60
225,41.7697266,34
226,43.707511,49
227,48.504984,53
228,51.081266,63
229,43.137234,49
230,47.496038,46
231,43.979193,49
232,82.162399,87
233,37.443142,50
234,38.27256,39
235,38.213618,45
236,40.517172,39
237,36.548124,39
238,36.11303,39
239,53.0586916,57
240,34.22368,24
241,52.114153,52
242,68.736204,91
243,66.19736,66
244,41.773186,36
245,57.168296,55
246,55.137755,60
247,34.4206017,40
248,70.4536253,91
249,44.888185,47
250,54.119047,57
251,62.970634,52
252,39.610853,41
253,59.160689,70
254,61.491078,58
255,32.791033,35
256,50.016134,46
257,36.4005133,26
258,42.869502,39
259,90.86641,93
260,74.425293,69
261,41.174308,38
262,68.760473,62
263,57.396987,53
264,48.245556,45
265,66.632558,76
266,61.796887,93
267,36.1032521,25
268,41.42352,51
269,39.800202,52
270,32.1338432,37
271,39.4995429,41
272,49.9841215,46
273,48.100653,44
274,63.008171,65
275,45.1948945,48
276,38.6699445,32
277,43.3730078,38
278,50.875642,64
279,34.630686,38
280,33.7632117,25
281,69.52683,82
282,44.756683,48
283,60.634,69
284,38.410737,29
285,93.551594,90
286,42.311264,46
287,49.671325,39
288,53.193085,64
289,56.05117,52
290,42.980348,54
291,82.197779,77
292,65.268696,78
293,42.739706,43
294,47.357765,54
295,66.506443,72
296,39.2222133,32
297,37.1285004,33
298,33.2399123,35
299,52.557174,55
300,41.353233,39
301,61.393222,72
302,52.061419,38
303,38.209353,21
304,35.3017053,37
305,46.153114,41
306,77.512046,86
307,74.129286,67
308,42.905323,52
309,35.184401,31
310,50.20347,60
311,33.102671,38
312,47.874022,44
313,33.8978481,37
314,52.098753,51
315,52.080527,61
316,42.621864,26
317,43.448785,44
318,36.354798,31
319,58.812899,45
320,36.128315,38
321,40.369334,46
322,47.233183,32
323,42.4249501,47
324,45.726091,30
325,78.41993,83
326,56.348762,49
327,52.2594408,38
328,29.6861142,20
329,46.194389,46
330,39.187494,34
331,33.839492,34
332,46.4948182,36
333,34.755631,43
334,46.362351,50
335,47.148854,43
336,54.479719,50
337,55.208897,54
338,41.8589517,47
339,45.2790033,37
340,46.309879,39
341,49.662924,42
342,33.1895923,35
343,43.747087,42
344,43.272438,38
345,29.002263,16
346,37.8712378,35
347,65.386424,70
348,45.5836453,64
349,42.985593,51
350,79.851438,78
351,41.880147,36
352,37.6056604,37
353,36.80133,42
354,37.3872751,35
355,36.589199,18
356,41.3497343,44
357,51.697226,62
358,37.8513527,49
359,34.6180388,24
360,45.847429,41
361,40.025419,48
362,59.094825,72
363,33.9685805,37
364,52.916666,43
365,50.2887137,47
366,29.7645145,20
367,54.972834,49
368,46.715464,60
369,32.5531964,56
370,44.340833,44
371,40.221386,39
372,54.365662,60
373,45.195238,40
374,36.4763295,20
375,37.5191001,30
376,40.9953521,36
377,32.5213364,37
378,45.196485,36
379,45.40267,41
380,40.480753,45
381,38.705838,42
382,39.4550368,27
383,46.09186,43
384,49.419914,45
385,53.916897,34
386,44.199186,39
387,50.339573,46
388,31.765945,26
389,43.122026,15
390,49.775169,29
391,50.33195,40
392,36.2545579,40
393,40.796914,39
394,35.715405,39
395,28.915261,26
396,26.5270594,17
397,44.45624,36
398,40.6729322,42
399,64.49538,63
400,33.129606,22
